"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__shrinking","param_model__probability","param_model__kernel","param_model__gamma","param_model__coef0","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"40",39,0.0344848155975342,0.00567812574899837,0.0158327579498291,0.00822717034584156,"StandardScaler","SimpleImputer","OneHotEncoder","True","True","linear","scale",1,31,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'linear', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 31, 'model': SVC(C=11, coef0=4)}",1,1,0.9,0.9,1,0.96,0.0489897948556636,14
"41",40,0.0263556957244873,0.00587445489383454,0.00973801612854004,0.00119326375109727,"MinMaxScaler","KNNImputer","OrdinalEncoder","False","False","sigmoid","auto",7,31,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'sigmoid', 'model__gamma': 'auto', 'model__coef0': 7, 'model__C': 31, 'model': SVC(C=11, coef0=4)}",0.766666666666667,0.833333333333333,0.733333333333333,0.833333333333333,0.933333333333333,0.82,0.0686375342732467,30
"42",41,0.019434642791748,0.00425033468978437,0.00828175544738769,0.00192998957322703,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","False","rbf","scale",4,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 4, 'model__C': 41, 'model': SVC(C=11, coef0=4)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,14
"43",42,0.0213841438293457,0.00744825667278758,0.00900440216064453,0.00553816062617516,"MinMaxScaler","SimpleImputer","OneHotEncoder","False","False","poly","scale",1,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 21, 'model': SVC(C=11, coef0=4)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,14
"44",43,0.0123141765594482,0.00026866880107038,0,0,"MinMaxScaler","SimpleImputer","OneHotEncoder","False","False","precomputed","scale",7,1,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'precomputed', 'model__gamma': 'scale', 'model__coef0': 7, 'model__C': 1, 'model': SVC(C=11, coef0=4)}",NA,NA,NA,NA,NA,NA,NA,41
"45",44,0.0241936206817627,0.008702874966104,0.00922689437866211,0.00494629233834563,"StandardScaler","SimpleImputer","OneHotEncoder","True","False","sigmoid","auto",9,11,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'sigmoid', 'model__gamma': 'auto', 'model__coef0': 9, 'model__C': 11, 'model': SVC(C=11, coef0=4)}",0.533333333333333,0.733333333333333,0.466666666666667,0.666666666666667,0.466666666666667,0.573333333333333,0.108320512061813,35
"46",45,0.0137872695922852,0.00227385185930265,0.00650467872619629,0.000216763721190502,"MinMaxScaler","KNNImputer","OrdinalEncoder","False","False","linear","scale",8,31,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'scale', 'model__coef0': 8, 'model__C': 31, 'model': SVC(C=11, coef0=4)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,14
"47",46,0.0400306701660156,0.0135550020391635,0.0109055995941162,0.00364576154310877,"MinMaxScaler","KNNImputer","OrdinalEncoder","False","True","sigmoid","scale",2,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__coef0': 2, 'model__C': 41, 'model': SVC(C=11, coef0=4)}",0.233333333333333,0.333333333333333,0.233333333333333,0.2,0.266666666666667,0.253333333333333,0.0452155332208351,37
"48",47,0.020206880569458,0.00724930993823519,0.00806913375854492,0.00350253187752222,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","False","linear","auto",9,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'auto', 'model__coef0': 9, 'model__C': 21, 'model': SVC(C=11, coef0=4)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,14
"49",48,0.0320611953735352,0.00604064290363522,0,0,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","False","precomputed","auto",4,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'precomputed', 'model__gamma': 'auto', 'model__coef0': 4, 'model__C': 41, 'model': SVC(C=11, coef0=4)}",NA,NA,NA,NA,NA,NA,NA,43
"50",49,0.0241819858551025,0.00700780205316572,0.00842142105102539,0.00329066247735619,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","False","poly","scale",7,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__coef0': 7, 'model__C': 11, 'model': SVC(C=11, coef0=4)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,14
